epoch,acc,dice_coef,learning_rate,loss,val_acc,val_dice_coef,val_loss
0,0.482083261013031,0.04160420969128609,0.10000000149011612,0.9583303928375244,0.6697267889976501,0.04745357856154442,0.953164279460907
1,0.6293056011199951,0.06581307202577591,0.10000000149011612,0.9341019988059998,0.6329747438430786,0.06635772436857224,0.9344841241836548
2,0.8613924980163574,0.11565768718719482,0.10000000149011612,0.8844975829124451,0.9315804839134216,0.12568438053131104,0.8757696151733398
3,0.9654344916343689,0.20720210671424866,0.10000000149011612,0.7932960987091064,0.8902848362922668,0.14199811220169067,0.8603585362434387
4,0.9770815968513489,0.2895681858062744,0.10000000149011612,0.7106133103370667,0.9282204508781433,0.18805108964443207,0.8143570423126221
5,0.9801689386367798,0.3523480296134949,0.10000000149011612,0.648145318031311,0.9831491112709045,0.10512411594390869,0.8939264416694641
6,0.9817736744880676,0.3979320228099823,0.10000000149011612,0.6017758846282959,0.9696758389472961,0.32541874051094055,0.6755608916282654
7,0.9829803109169006,0.4348407983779907,0.10000000149011612,0.5654022097587585,0.9837741851806641,0.4508261978626251,0.5484122633934021
8,0.9839671850204468,0.4617992043495178,0.10000000149011612,0.5382848381996155,0.9847221374511719,0.45741552114486694,0.5416501760482788
9,0.9842959642410278,0.4807336926460266,0.10000000149011612,0.5194879174232483,0.9852829575538635,0.3652164340019226,0.6342976093292236
